Question,Solution,,,,,,,,
"21. The windmill sweeps a circle of area A with its blades. If the velocity of the wind is perpendicular to the circle, find the air passing through it in time t and also the kinetic energy of the air. 25 % of the wind energy is converted into electrical energy, and v = 36 km/h, A = 30 m^2 and the density of the air is 1.2 kg m^(-3). What is the electrical power produced?
","Area = A
Velocity = V
Density = \(\begin{array}{l}\rho\end{array} \)

(a) Volume of the wind through the windmill per sec = Av
Mass = \(\begin{array}{l}\rho\end{array} \)Av
Mass m through the windmill in time t = \(\begin{array}{l}\rho\end{array} \)Avt
(b) kinetic energy = \(\begin{array}{l}\frac{1}{2}\end{array} \)mv^2
= \(\begin{array}{l}\frac{1}{2}\end{array} \) (\(\begin{array}{l}\rho\end{array} \)Avt)v^2 = \(\begin{array}{l}\frac{1}{2}\end{array} \) \(\begin{array}{l}\rho\end{array} \)Av^3t
(c) Area = 30 m^2
Velocity = 36 km/h
Density of air \(\begin{array}{l}\rho\end{array} \) = 1.2 kg m^(-3)
Electric energy = 25 % of wind energy
= \(\begin{array}{l}\frac{25}{100}\end{array} \) x kinetic energy
= \(\begin{array}{l}\frac{1}{8}\end{array} \) \(\begin{array}{l}\rho\end{array} \)Av^3t
Power = \(\begin{array}{l}\frac{Electric\;energy}{Time}\end{array} \)
= \(\begin{array}{l}\frac{1}{8}\end{array} \) \(\begin{array}{l}\frac{\rho Av^{3}t}{t}\end{array} \) = \(\begin{array}{l}\frac{1}{8}\end{array} \) \(\begin{array}{l}\rho\end{array} \)Av^3
= \(\begin{array}{l}\frac{1}{8}\end{array} \) x 1.2 x 30 x 10^3
= 4.5 x 10^3 W =4.5 kW",,,,,,,,
"22. A person trying to lose weight (dieter) lifts a 10 kg mass one thousand times to a height of 0.5 m each time. Assume that the potential energy lost each time she lowers the mass is dissipated. (a) How much work does she do against the gravitational force? (b) Fat supplies 3.8 × 10^7J of energy per kilogram which is converted to mechanical energy with a 20% efficiency rate. How much fat will the dieter use up?
","Mass, m = 10 kg
Height to which the mass is lifted, h = 0.5 m
Number of times, n = 1000
(a) Work done against gravitational force.
W = n(mgh) = 1000 x (10 x 9.8 x 0.5) = 49000J
(b) Mechanical energy supplied by 1 kg of fat = 3.8 x 10^7 x 20/100 = 0.76 x10^7 J/kg
Therefore, fat used up by the dieter ={1/(0.76 x 10^7)} x 49000 = 49000/(0.76 x 10^7) = 6.45 x 10^(-3) kg",,,,,,,,
"23. A family uses 8 kW of power. (a) Direct solar energy is incident on the horizontal surface at an average rate of 200 W per square meter. If 20% of this energy can be converted to useful electrical energy, how large an area is needed to supply 8 kW?(b) Compare this area to that of the roof of a typical house.","(a) Power used by the family, p = 8 KW = 8000 W
Solar energy received per square metre = 200 W/m^2
Percentage of energy converted to useful electrical energy = 20%
As solar energy is incident at a rate of 200 Wm^(-2)
The area required to generate the desired energy is A.
Useful electrical energy produced per second
=  (20/100) A x 200 = 8000
A= 4000 W/200 Wm^(-2) =200 m^2
(b) The area needed is comparable to the roof of a large house of dimension 14m × 14m.",,,,,,,,
"24. A bullet of mass 0.012 kg and horizontal speed 70 m s^(–1) strikes a block of wood of mass 0.4 kg and instantly comes to rest with respect to the block. The block is suspended from the ceiling by means of thin wires. Calculate the height to which the block rises. Also, estimate the amount of heat produced in the block.","Mass of the bullet, m1= 0.012 kg
Initial speed of the bullet, u1 =70 m/s
Mass of the wooden block, m2= 0.4 kg
Initial speed of the wooden block, u2=0
Final speed of the system of the bullet and the block = v m/s
Applying the law of conservation of momentum,
m1u1+m2u2 =(m1+m2)v
(0.012×70)+(0.4×0)=(0.012+0.4)v
v=0.84/0.412
=2.04 m/s
Let h be the height to which the block rises.
Applying the law of conservation of energy to this system,
Potential energy of the combination = Kinetic energy of the combination
(m1 + m2) gh = (1/2) (m1 + m2) v^2
h= v^2/2g
= ((2.04)^2)/2×9.8
=0.212m
The wooden block will rise to a height of 0.212m.
The heat produced = Initial kinetic energy of the bullet – final kinetic energy of the combination
=(1/2)m1u1^2 −(1/2)(m1 + m2)v^2
=(1/2)×0.012×(70)^2 −(1/2)×(0.012 + 0.4)×(2.04^)2
=29.4−0.857=28.54J",,,,,,,,
"27. A bolt of mass 0.3 kg falls from the ceiling of an elevator moving down with a uniform speed of 7 ms^-1. It hits the floor of the elevator (length of elevator = 3 m) and does not rebound. What is the heat produced by the impact? Would your answer be different if the elevator were stationary?
","Mass of the bolt, m = 0.3 kg
Potential energy of the bolt = mgh = 0.3 x 9.8 x 3 = 8.82 J
The bolt does not rebound. So, the whole of the potential energy gets converted to heat energy. The heat produced will remain the same even if the lift is stationary since the value of acceleration due to gravity is the same in all inertial systems.",,,,,,,,
"28. On a frictionless track, a trolley moves with a speed of 36 km/h with a mass of 200 Kg. A child whose mass is 20 kg runs on the trolley with a speed of 4 m s^-1 from one end to another, which is 20 m. The speed is relative to the trolley in the direction opposite to its motion. Find the final speed of the trolley and the distance the trolley moved from the time the child began to run.","Mass m = 200 Kg
Speed v = 36 km/h = 10 m/s
Mass of boy = 20 Kg
Initial momentum = (M + m)v
= (200 +20) x 10
= 2200 kg m/s
Final velocity of boy = M\(\begin{array}{l}v{}'\end{array} \) +m(\(\begin{array}{l}v{}'\end{array} \) – 4 )
= 200\(\begin{array}{l}v{}'\end{array} \) + 20\(\begin{array}{l}v{}'\end{array} \) – 80
= 220\(\begin{array}{l}v{}'\end{array} \) – 80
According to the law of conservation of energy,
Initial momentum = final momentum
2200 = 220\(\begin{array}{l}v{}'\end{array} \) – 80
Length l = 20 m/s
t = \(\begin{array}{l}\frac{20}{4}\end{array} \) = 5 s
Distance moved by the trolley = \(\begin{array}{l}v{}”\end{array} \) x t = 10.36 x 5 = 51.8 m",,,,,,,,
"1. Give the location of the centre of mass of a (i) sphere, (ii) cylinder, (iii) ring, and (iv) cube, each of uniform mass density. Does the centre of mass of a body necessarily lie inside the body?","All the given structures are symmetric bodies having a very uniform mass density. Thus, for all the above bodies, their centre of mass will lie in their geometric centres.
It is not always necessary for a body’s centre of mass to lie inside it; for example, the centre of mass of a circular ring is at its centre.
",,,,,,,,
"Q3. A child sits stationary at one end of a long trolley, moving uniformly with a speed V on a smooth horizontal floor. If the child gets up and runs about on the trolley in any manner, what is the speed of the CM of the (trolley + child) system?","The child and the trolley constitute a single system, and the child moving inside the trolley is a purely internal motion. Since there is no external force on the system, the velocity of the centre of mass of the system will not change.",,,,,,,,
"Q6. Find the components along the x, y, and z axes of the angular momentum l of a particle whose position vector is r with components x, y, and z and whose momentum is p with components px, py and pz. Show that if the particle moves only in the x-y plane, the angular momentum has only a z-component.","Linear momentum , \(\begin{array}{l}\vec{p} = p_{x}\hat{i} + p_{y}\hat{j} + p_{z}\hat{k}\end{array} \)

Position vector of the body , \(\begin{array}{l}\vec{r} = x\hat{i} + y\hat{j} + z\hat{k}\end{array} \)

Angular momentum , \(\begin{array}{l}\vec{I} = \vec{r} \times \vec{p}\end{array} \)

= \(\begin{array}{l}(x\hat{i} + y\hat{j} + z\hat{k}) \times (p_{x}\hat{i} + p_{y}\hat{j} + p_{z}\hat{k})\end{array} \)

= \(\begin{array}{l}\begin{bmatrix} \hat{i} & \hat{j} & \hat{k}\\ x & y & z\\ p_{x}& p_{y} & p_{z} \end{bmatrix}\end{array} \)=\(\begin{array}{l}\hat{i}(yp_{z} -zp_{y}) +\hat{j}( zp_{x} – xp_{z} ) + \hat{k}(xp_{y} -yp_{x})\end{array} \)

 
From this, we can conclude
lX = ypZ – zpyy ,  lY = zpX – xpZ and lZ = xpY – ypX
If the body only moves in the x-y plane, then z = pz = 0. Which means
lX =  lY = 0
Hence, only lZ = xpY – ypX , which is just the z component of angular momentum.",,,,,,,,
"Q11. Torques of equal magnitude are applied to a hollow cylinder and a solid sphere, both having the same mass and radius. The cylinder is free to rotate about its standard axis of symmetry, and the sphere is free to rotate about an axis passing through its centre. Which of the two will acquire a greater angular speed after a given time?","Let m be the mass and r be the radius of the solid sphere and also the hollow cylinder.
The moment of inertia of the hollow cylinder about its standard axis, I1 = MR2
Moment of inertia of the solid sphere about an axis passing through its centre
I2 = (2MR^2 ) / 5
Let T be the magnitude of the torque being exerted on the two structures, producing angular accelerations of   α2 and α1  in the sphere and the cylinder, respectively.
Thus, we have T =  I1α1= I2α2 
∴ α2 / α1  =  I1  /  I2  =  \(\begin{array}{l}\frac{MR^{2}}{\frac{2}{5}MR^{2}}\end{array} \) = 5/2
α2 > α1          . . . . . .( 1 )
Now, using the relation
ω = ω0 + αt
Where,
ω0 = Initial angular velocity
t = Time of rotation
ω = Final angular velocity
For equal ω0 and t, we have
ω ∝ α             . . . . . . .  . ( 2 )
From equations ( 1 ) and ( 2 ), we can write
ω2 > ω1
Thus, from the above relation, it is clear that the angular velocity of the solid sphere will be greater than that of the hollow cylinder.",,,,,,,,
Q12. A solid cylinder of mass 20 kg rotates about its axis with an angular speed 100 rad s^(-1). The radius of the cylinder is 0.25 m. What is the kinetic energy associated with the rotation of the cylinder? What is the magnitude of the angular momentum of the cylinder about its axis?,"Given,
Mass of the cylinder, m = 20 kg
Angular speed, ω = 100 rad s^–1
Radius of the cylinder, r = 0.25 m
The moment of inertia of the solid cylinder
I = mr^2 / 2
= (1/2) × 20 × (0.25)^2
= 0.625 kg m^2
( a ) ∴ Kinetic energy = (1/2) I ω2
= (1/2) × 0.625 × (100)2 =3125 J
( b )∴Angular momentum, L = Iω
= 0.625× 100
= 62. 5 Js",,,,,,,,
"Q13. ( i ) A child stands at the centre of a turntable with his two arms outstretched. The turntable is set to rotate with an angular speed of 40 rev/min. How much is the angular speed of the child if he folds his hands back and thereby reduces his moment of inertia to 2/5 times the initial value? Assume that the turntable rotates without friction
( ii ) Show that the child’s new kinetic energy of rotation is more than the initial kinetic energy of rotation. How do you account for this increase in kinetic energy?","(a) Given,
Initial angular velocity, ω1= 40 rev/min
let the final angular velocity = ω2
Let the boy’s moment of inertia with hands stretched out = I1
Let the boy’s moment of inertia with hands folded in = I2
We know :
I2 = (2/5) I1
As no external forces are acting on the boy, the angular momentum will be constant.
Thus,  we can write
I2 ω2  =  I1 ω1
ω2 = (I1/I2) ω1
= [ I1 / (2/5)I1 ] × 40  =  ( 5/2 ) × 40  =  100 rev/min
(b)  Final kinetic energy of rotation, EF = (1/2) I2 (ω2)^2
Initial kinetic energy of rotation, EI =  (1/2) I1 (ω1)^2
EF / EI = (1/2) I2 (ω2)^2 / (1/2) I1 (ω1)^2
= (2/5) I1 (100)^2 / I1 (40)^2
= 2.5
∴ EF = 2.5 EI
It is clear that there is an increase in the kinetic energy of rotation, and it can be attributed to the internal energy used by the boy to fold his hands.",,,,,,,,
Q14. A rope of negligible mass is wound around a hollow cylinder of mass 3 kg and radius 40 cm. What is the angular acceleration of the cylinder if the rope is pulled with a force of 30 N? What is the linear acceleration of the rope? Assume that there is no slipping.,"Given,
Mass of the hollow cylinder, m = 3 kg
Radius of the hollow cylinder, r = 40cm  = 0.4 m
Force applied, F = 30 N
Moment of inertia of the hollow cylinder about its  axis
I = mr^2
= 3 × (0.4)^2 = 0.48 kg m^2
Torque, T = F × r  =  30 × 0.4  = 12 Nm
Also, we know that
Torque = Moment of inertia x Acceleration
T = Iα
( a ) Therefore, α = T / I  =  12 / 0.48  = 25 rad s^-2
( b ) Linear acceleration = Rα = 0.4 × 25 = 10 m s^–2 ",,,,,,,,
"Q15.  To maintain a rotor at a uniform angular speed of 200 rad s^-1, an engine needs to transmit a torque of 180 N m. What is the power required by the engine? (Note: Uniform angular velocity in the absence of friction implies zero torque. In practice, applied torque is needed to counter frictional torque.) Assume that the engine is 100% efficient.","Given,
The angular speed of the rotor, ω = 200 rad/s
Torque, T = 180 Nm
Therefore, the power of the rotor (P)
P = T ω
= 200 × 180
= 36.0 kW
Therefore, the engine requires  36.0 kW of power.",,,,,,,,
